ArrayNumber,ArraySize,Time,Iterations
1,271,19200,3312
2,8704,789800,308084
3,9912,760200,264024
4,3947,227000,80737
5,1423,73700,25660
6,7638,495400,187263
7,1513,76600,26043
8,441,52600,5907
9,9806,674200,251079
10,5192,352200,126419
11,7124,467600,174943
12,9010,575800,224783
13,2229,120100,44568
14,4571,269500,101566
15,5907,367800,142389
16,593,28100,8648
17,8734,572900,241248
18,2456,133100,47662
19,4656,282400,111447
20,7315,457900,180271
21,2881,165000,60904
22,1279,62600,20775
23,9014,583200,231689
24,3423,189800,69205
25,8551,560300,223218
26,7897,504300,185153
27,4811,284900,105207
28,5095,310700,111748
29,7023,436600,163803
30,400,16500,5467
31,5697,368800,145220
32,8830,558900,218387
33,6056,377800,140157
34,3883,221200,81101
35,2382,126300,46057
36,4242,248200,98884
37,6956,430400,164456
38,9960,664300,247045
39,1129,53100,18592
40,4027,236500,86245
41,9869,691700,266772
42,143,4700,1439
43,2265,121000,44417
44,4428,260300,102658
45,262,9700,3356
46,5601,356300,134063
47,8229,561600,255121
48,602,26000,8400
49,5361,338000,125781
50,5312,335800,128717
51,5180,323500,127994
52,1923,106200,40070
53,2091,111900,44488
54,8859,558600,221315
55,223,7800,2459
56,5670,349700,136217
57,668,29500,9843
58,6613,444000,160922
59,2088,112600,43307
60,4990,303300,110300
61,9169,611400,243629
62,3281,189300,73203
63,6698,409800,162544
64,396,16700,5497
65,5434,329700,124179
66,8399,540900,224838
67,9742,663300,287996
68,5354,335100,126749
69,1451,72200,25482
70,6451,401500,156893
71,3739,215600,80165
72,5708,348500,135790
73,7671,486100,174522
74,7052,445000,173014
75,5212,321000,123687
76,4468,264000,98943
77,5524,343300,129519
78,786,36000,13137
79,9143,594200,231400
80,5321,331300,129121
81,9561,633000,245047
82,9397,619000,246054
83,4915,297700,111229
84,7142,471900,162562
85,6661,440600,197965
86,6585,413600,161521
87,7066,447200,175813
88,8071,528500,203446
89,5098,304800,109152
90,5852,359100,134908
91,7007,437700,170868
92,8049,521300,191357
93,9810,659200,263966
94,3868,226900,84445
95,3639,206200,78945
96,9180,602100,230458
97,770,38200,16083
98,930,44800,14974
99,7673,495000,178687
100,137,4900,1432
